X,Y,portid,portname,country,ISO3,continent,fullname,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,LOCODE,pageid,countrynoaccents,ObjectId
3324742.7899742,4971011.02065245,port401,Golcuk,Türkiye,TUR,Europe,"Golcuk, Türkiye",40.71919647,29.86667264,911,54,22,253,219,362,Mineral Products,Vehicles & Equipment,Machinery & Electrical Equipment,1.14,0.51,,4e7c3379329b4a96ac1a0c1958da1ac8,Turkiye,240
1078939.8020206,8194201.88254422,port169,Brevik,Norway,NOR,Europe,"Brevik, Norway",59.06385806,9.692281148,516,188,189,137,0,0,Prepared Foodstuffs & Beverages,Animal & Animal Products,Vegetable Products,2.32,1.44,NO BVK,1b720bb6e1fd4c639c78bbe891d0b3ab,Norway,241
1822224.97038379,7690514.23062534,port531,Kalmar,Sweden,SWE,Europe,"Kalmar, Sweden",56.65789386,16.36932542,350,9,1,239,0,100,Wood & Wood Products,Vegetable Products,Mineral Products,1.19,0.99,SE KLR,3b56cc5a6cc240318171953f585311eb,Sweden,242
3073094.14055645,4474534.02319801,port429,Gulluk,Türkiye,TUR,Europe,"Gulluk, Türkiye",37.25373921,27.60607436,184,5,70,108,0,0,Mineral Products,Stone & Glass,Chemical & Allied Industries,0.03,1.54,TR GUL,16cdaab52a1d4169b2534cfc05dc759d,Turkiye,243
12276405.4836372,2276860.40329074,port437,Haikou,China,CHN,Asia & Pacific,"Haikou, China",20.03232283,110.2808268,137,59,0,17,60,0,Mineral Products,Metals,Vegetable Products,0.02,0.01,CN HKO,49bc0fd6d538444c9965d79355fd5c96,China,244
1647461.74663003,7590546.62713503,port546,Karlshamn,Sweden,SWE,Europe,"Karlshamn, Sweden",56.16106721,14.79940067,783,32,2,447,0,301,Mineral Products,Wood & Wood Products,Chemical & Allied Industries,5.48,4.42,SE KAN,daa03e40000947e4b0b441a713b51249,Sweden,245
3229979.59991734,5012374.13007648,port457,Haydarpasa,Türkiye,TUR,Europe,"Haydarpasa, Türkiye",41.00022011,29.01540042,269,116,4,140,1,6,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.13,0.1,TR HAY,5f7ea27dd2f940de946931713438c960,Turkiye,246
13587720.1755102,770906.021181204,port1420,Zamboanga,Philippines,PHL,Asia & Pacific,"Zamboanga, Philippines",6.908366515,122.0605671,233,46,10,121,10,45,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,0.17,0.28,PH ZAM,da30c718d1774fe9ab67ec0fa6555051,Philippines,247
5227986.0490219,-2883952.95009867,port340,Faradofay,Madagascar,MDG,Africa,"Faradofay, Madagascar",-25.06680991,46.96379773,78,0,25,34,0,18,Mineral Products,Vegetable Products,Chemical & Allied Industries,1.54,65.48,,ae4f1df03e5243c18c07962c97c884e5,Madagascar,248
1337260.66920639,7551012.85065252,port359,Frederiksvaerk,Denmark,DNK,Europe,"Frederiksvaerk, Denmark",55.96279548,12.01281698,449,13,0,435,0,0,Metals,Miscellaneous,Chemical & Allied Industries,2.09,2.16,,85c12adfb57b416f898098e0663f6af7,Denmark,249
2476871.64332379,9756265.25700218,port670,Lulea,Sweden,SWE,Europe,"Lulea, Sweden",65.55560307,22.25011654,401,14,53,308,0,25,Mineral Products,Metals,Chemical & Allied Industries,5.01,6.94,SE LLA,a59c0dda5d324651b06ff3aef74e85a5,Sweden,250
4612055.59589339,5073104.18175392,port477,Hopa,Türkiye,TUR,Europe,"Hopa, Türkiye",41.41066171,41.43080033,104,0,1,102,0,1,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.07,0.04,TR HOP,409080d01ac843a894a8574f5f79465d,Turkiye,251
12801941.6048029,-2475112.62008388,port854,Onslow,Australia,AUS,Asia & Pacific,"Onslow, Australia",-21.69639497,115.0017981,230,0,70,3,0,157,Mineral Products,Chemical & Allied Industries,Stone & Glass,0.07,0.54,AU ONS,c61d9a8f861b4b16aabea1939ddedb7e,Australia,252
1450139.89078102,7484489.9698324,port690,Malmo,Sweden,SWE,Europe,"Malmo, Sweden",55.62686072,13.02682828,818,11,81,171,192,361,Mineral Products,Vehicles & Equipment,Chemical & Allied Industries,6.52,2.2,SE MMA,b7aa57ba764246cfa01af749615627db,Sweden,253
4028999.71756291,4383605.22995862,port503,Iskenderun,Türkiye,TUR,Europe,"Iskenderun, Türkiye",36.60077591,36.19312026,1227,536,91,466,18,114,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,1.79,1.65,TR ISK,5812ed3cd023404bbb9bfc4a7832e00b,Turkiye,254
4638531.25585426,5108485.94073476,port127,Batumi,Georgia,GEO,Europe,"Batumi, Georgia",41.64860022,41.66863523,477,69,33,175,6,193,Mineral Products,Chemical & Allied Industries,Vegetable Products,40,17.57,GE BUS,d4c517859c7c4b2097f6005a008a01a1,Georgia,255
1096725.48003638,9177659.61766125,port1290,Thamshamm,Norway,NOR,Europe,"Thamshamm, Norway",63.31399096,9.852052612,258,100,5,147,0,4,Mineral Products,Vegetable Products,Wood & Wood Products,1.14,0.29,,dc437f0914f94827847b93edd7e7fafe,Norway,256
3198824.82776244,5007916.71006452,port504,Istanbul,Türkiye,TUR,Europe,"Istanbul, Türkiye",40.96999344,28.73553234,9108,334,1242,6171,15,1345,Mineral Products,Vegetable Products,Metals,4.57,16.73,TR IST,f52a4468e8804e18aeb806b6c60b2875,Turkiye,257
-13615363.8218324,4552361.10501763,port839,Oakland,United States,USA,North America,"Oakland, United States",37.80816366,-122.3088942,1095,1056,32,2,2,0,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.8,1.08,US OAK,23b00a5a764b47e885eb637dd3f6a312,United States,258
1187292.17887613,8277027.71602699,port770,Moss,Sweden,SWE,Europe,"Moss, Sweden",59.44422932,10.66562711,218,158,1,58,0,0,Mineral Products,Wood & Wood Products,Prepared Foodstuffs & Beverages,0.83,0.19,,9434997a913c4d4988ef6e24af2a84e5,Sweden,259
4635323.0281296,5201467.73448445,port606,Kulevi Oil Terminal,Georgia,GEO,Europe,"Kulevi Oil Terminal, Georgia",42.26971683,41.63981523,134,0,0,0,0,134,Mineral Products,Chemical & Allied Industries,Prepared Foodstuffs & Beverages,1.58,14.38,,a37af645e6c14b35bdae29aad3bcd8bd,Georgia,260
-8702885.83997845,-1130456.98892699,port1064,Punta Lobitos,Peru,PER,South America,"Punta Lobitos, Peru",-10.10231349,-78.17935366,94,0,90,3,0,0,Vegetable Products,Mineral Products,Prepared Foodstuffs & Beverages,0.07,5.89,PE PLO,0c0d49f90ad5446e82ba03e96d80d534,Peru,261
3023004.23582539,4642219.68032163,port510,Izmir,Türkiye,TUR,Europe,"Izmir, Türkiye",38.4431577,27.15610909,1514,586,85,744,29,68,Mineral Products,Metals,Vegetable Products,1.67,1.62,TR IZM,145aa3dcbf1a47ad953d3a9b9cbf6d8c,Turkiye,262
19612783.6645556,-4531574.62090329,port1278,Tauranga,New Zealand,NZL,Asia & Pacific,"Tauranga, New Zealand",-37.66048847,176.1846333,1306,706,404,43,3,149,Wood & Wood Products,Mineral Products,Vegetable Products,21.89,30.15,NZ TRG,275ef948c6094fa8882c2c19ba7c5da0,New Zealand,263
1806236.34450387,8098252.32689501,port827,Norrkoping,Sweden,SWE,Europe,"Norrkoping, Sweden",58.61788863,16.22569715,945,242,26,444,0,232,Mineral Products,Wood & Wood Products,Chemical & Allied Industries,5.53,3.31,SE NRK,f930a2c6fe324d6687722a0f9a04196a,Sweden,264
